frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
367,0x51,0,1,374,336.6,13.251,-23,63514,2
368,0x51,0,2,461,342.2,13.472,-19,63686,2
369,0x51,0,1,491,360.0,14.174,-15,63858,2
370,0x51,0,2,434,375.2,14.77,-21,64030,2
371,0x51,0,1,441,385.0,15.159,-20,64202,3
372,0x51,0,2,388,392.4,15.448,-21,64374,3
373,0x51,0,2,479,399.7,15.735,-21,64546,3
374,0x51,0,1,500,411.6,16.204,-16,64718,3
375,0x51,0,2,453,421.7,16.602,-22,64890,3
376,0x51,0,2,440,426.4,16.787,-21,65062,3
377,0x51,0,0,-1,426.4,16.787,0,65233,3
378,0x51,0,1,485,430.4,16.944,-20,65407,3
379,0x51,0,1,460,434.8,17.119,-20,65579,4
380,0x51,0,1,427,438.6,17.268,-24,65751,4
381,0x51,0,1,461,441.8,17.394,-18,65923,4
382,0x51,0,1,437,441.1,17.366,-20,66095,4
383,0x51,0,2,444,441.5,17.383,-21,66267,4
384,0x51,0,1,444,441.9,17.397,-20,66439,4
385,0x51,0,1,403,442.2,17.41,-19,66611,4
386,0x51,0,1,404,436.5,17.184,-22,66783,4
387,0x51,0,1,346,431.5,16.987,-20,66955,3
388,0x51,0,1,316,418.6,16.482,-18,67127,3
389,0x51,0,1,333,405.8,15.976,-18,67299,3
390,0x51,0,2,312,392.3,15.446,-26,67471,3
391,0x51,0,2,359,383.4,15.095,-22,67643,3
392,0x51,0,1,377,379.8,14.951,-24,67815,2
393,0x51,0,1,357,376.6,14.829,-21,67987,2
394,0x51,0,0,-1,376.6,14.829,0,68158,2
395,0x51,0,1,451,376.7,14.831,-13,68332,2
396,0x51,0,1,460,387.8,15.27,-21,68504,3
397,0x51,0,2,373,397.3,15.642,-21,68676,3
398,0x51,0,1,381,394.9,15.546,-22,68848,3
399,0x51,0,1,470,392.8,15.464,-21,69020,3
400,0x51,0,1,411,395.5,15.572,-26,69192,3
401,0x51,0,3,408,397.8,15.663,-26,69364,3
402,0x51,0,2,453,399.8,15.741,-21,69536,3
403,0x51,0,3,422,403.1,15.872,-17,69708,3
404,0x51,0,2,407,406.0,15.983,-26,69880,3
