frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
149,0x51,0,2,444,502.7,19.79,-21,26831,5
150,0x51,0,1,494,493.9,19.444,-22,27010,5
151,0x51,0,1,478,491.5,19.35,-18,27189,5
152,0x51,0,0,-1,491.5,19.35,0,27367,5
153,0x51,0,0,-1,491.5,19.35,0,27547,5
154,0x51,0,1,491,491.4,19.347,-22,27728,5
155,0x51,0,2,484,490.3,19.303,-22,27907,5
156,0x51,0,2,431,489.4,19.266,-25,28086,5
157,0x51,0,1,453,483.9,19.051,-25,28265,5
158,0x51,0,2,447,478.4,18.833,-24,28444,4
159,0x51,0,2,446,473.7,18.648,-25,28623,4
160,0x51,0,2,443,469.5,18.485,-27,28802,4
161,0x51,0,1,440,465.5,18.328,-25,28981,4
162,0x51,0,0,-1,465.5,18.328,0,29159,4
163,0x51,0,0,-1,465.5,18.328,0,29339,4
164,0x51,0,0,-1,465.5,18.328,0,29519,4
165,0x51,0,1,1178,462.2,18.195,-22,29700,4
166,0x51,0,1,530,472.3,18.596,-21,29879,4
167,0x51,0,1,599,491.3,19.344,-19,30058,5
168,0x51,0,0,-1,491.3,19.344,0,30236,5
169,0x51,0,0,-1,491.3,19.344,0,30416,5
170,0x51,0,1,540,498.6,19.631,-17,30597,5
171,0x51,0,0,-1,498.6,19.631,0,30775,5
172,0x51,0,1,501,504.8,19.876,-22,30956,5
173,0x51,0,1,469,504.3,19.853,-24,31135,5
174,0x51,0,1,531,503.8,19.834,-20,31314,5
175,0x51,0,0,-1,503.8,19.834,0,31492,5
176,0x51,0,1,513,505.2,19.888,-20,31673,5
177,0x51,0,1,454,506.3,19.934,-21,31852,5
178,0x51,0,0,-1,506.3,19.934,0,32030,5
179,0x51,0,1,817,507.3,19.974,-21,32211,5
180,0x51,0,1,756,544.6,21.442,-21,32390,5
181,0x51,0,0,-1,544.6,21.442,0,32568,5
182,0x51,0,1,450,576.3,22.69,-27,32749,5
183,0x51,0,1,468,560.1,22.051,-25,32928,5
184,0x51,0,1,1189,546.3,21.507,-20,33107,5
185,0x51,0,2,450,534.5,21.045,-21,33286,5
186,0x51,0,1,588,542.6,21.36,-19,33465,5
187,0x51,0,2,457,529.7,20.855,-23,33644,5
188,0x51,0,1,1173,538.5,21.199,-21,33823,5
189,0x51,0,2,455,526.2,20.718,-24,34002,5
190,0x51,0,1,457,515.9,20.309,-22,34181,5
191,0x51,0,0,-1,515.9,20.309,0,34359,5
192,0x51,0,1,482,507.0,19.962,-21,34540,5
193,0x51,0,1,453,499.5,19.666,-22,34719,5
194,0x51,0,2,508,496.9,19.563,-18,34898,5
195,0x51,0,1,510,498.6,19.628,-18,35077,5
196,0x51,0,1,458,500.0,19.684,-22,35256,5
197,0x51,0,0,-1,500.0,19.684,0,35434,5
198,0x51,0,1,604,501.5,19.743,-20,35615,5
199,0x51,0,2,448,495.0,19.487,-24,35794,5
200,0x51,0,3,450,488.2,19.221,-22,35973,5
201,0x51,0,0,-1,488.2,19.221,0,36151,5
202,0x51,0,2,448,482.2,18.984,-23,36332,4
203,0x51,0,1,1062,477.4,18.794,-22,36511,4
204,0x51,0,0,-1,477.4,18.794,0,36689,4
205,0x51,0,0,-1,477.4,18.794,0,36869,4
206,0x51,0,0,-1,477.4,18.794,0,37049,4
207,0x51,0,0,-1,477.4,18.794,0,37229,4
208,0x51,0,0,-1,477.4,18.794,0,37409,4
209,0x51,0,0,-1,477.4,18.794,0,37589,4
210,0x51,0,1,459,474.6,18.685,-23,37770,4
