frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
228,0x51,0,1,189,197.5,7.775,-18,41029,1
229,0x51,0,1,224,205.4,8.088,-17,41205,1
230,0x51,0,1,229,211.0,8.307,-18,41381,1
231,0x51,0,1,248,216.4,8.52,-18,41557,1
232,0x51,0,2,288,225.9,8.893,-17,41733,1
233,0x51,0,1,325,244.5,9.627,-13,41909,1
234,0x51,0,1,348,268.7,10.577,-12,42085,1
235,0x51,0,1,347,292.2,11.503,-9,42264,1
236,0x51,0,1,341,308.6,12.15,-9,42443,1
237,0x51,0,2,353,320.1,12.604,-15,42622,1
238,0x51,0,1,352,329.7,12.98,-13,42801,1
239,0x51,0,1,343,336.4,13.243,-14,42980,2
240,0x51,0,1,353,341.1,13.428,-12,43159,2
241,0x51,0,1,424,344.6,13.569,-15,43338,2
242,0x51,0,2,466,368.5,14.506,-13,43517,2
243,0x51,0,1,488,397.7,15.658,-9,43696,3
244,0x51,0,1,495,424.8,16.725,-9,43875,3
245,0x51,0,1,501,445.9,17.554,-8,44054,4
246,0x51,0,1,503,462.4,18.205,-8,44233,4
247,0x51,0,2,498,474.0,18.661,-10,44412,4
248,0x51,0,1,500,481.8,18.968,-9,44591,4
249,0x51,0,1,504,487.3,19.183,-10,44770,5
250,0x51,0,1,508,492.3,19.381,-9,44949,5
251,0x51,0,1,509,497.0,19.567,-8,45128,5
252,0x51,0,1,509,500.6,19.708,-8,45307,5
253,0x51,0,1,509,503.1,19.808,-8,45486,5
254,0x51,0,2,504,504.9,19.877,-10,45665,5
255,0x51,0,1,497,504.6,19.867,-10,45844,5
256,0x51,0,2,478,502.3,19.777,-12,46023,5
257,0x51,0,1,432,495.0,19.489,-12,46202,5
258,0x51,0,1,360,476.1,18.745,-17,46381,4
259,0x51,0,1,329,441.3,17.373,-15,46560,4
260,0x51,0,1,305,407.6,16.047,-16,46739,3
261,0x51,0,1,299,376.8,14.835,-15,46918,2
262,0x51,0,3,294,353.5,13.916,-15,47097,2
263,0x51,0,1,296,336.2,13.237,-14,47276,2
264,0x51,0,1,300,324.2,12.762,-14,47455,1
265,0x51,0,1,302,316.9,12.477,-15,47634,1
266,0x51,0,1,301,312.1,12.289,-15,47813,1
267,0x51,0,2,330,309.1,12.169,-17,47992,1
268,0x51,0,1,387,315.4,12.416,-13,48171,1
269,0x51,0,1,432,336.9,13.262,-10,48350,2
270,0x51,0,1,458,365.4,14.386,-11,48529,2
271,0x51,0,1,463,393.2,15.48,-13,48708,3
272,0x51,0,1,471,414.1,16.304,-10,48887,3
273,0x51,0,1,493,431.2,16.976,-12,49066,3
274,0x51,0,1,476,444.6,17.505,-11,49245,4
275,0x51,0,1,476,454.0,17.876,-12,49424,4
276,0x51,0,1,488,460.6,18.135,-8,49603,4
277,0x51,0,1,484,467.6,18.411,-9,49782,4
278,0x51,0,2,484,472.5,18.604,-10,49961,4
279,0x51,0,3,330,476.0,18.74,-33,50140,4
280,0x51,0,2,480,477.2,18.787,-11,50319,4
281,0x51,0,2,480,478.0,18.82,-10,50498,4
282,0x51,0,1,482,478.6,18.843,-9,50677,4
283,0x51,0,1,483,479.6,18.883,-7,50856,4
284,0x51,0,1,484,480.6,18.923,-6,51035,4
285,0x51,0,1,486,481.7,18.963,-6,51214,4
286,0x51,0,1,486,483.0,19.014,-6,51393,5
287,0x51,0,1,484,483.9,19.05,-8,51572,5
288,0x51,0,1,483,483.9,19.052,-11,51751,5
289,0x51,0,2,482,483.6,19.041,-13,51930,5
290,0x51,0,2,483,483.4,19.033,-12,52109,5
291,0x51,0,1,486,483.3,19.028,-13,52288,5
292,0x51,0,1,485,483.8,19.048,-11,52467,5
293,0x51,0,2,484,484.2,19.062,-13,52646,5
294,0x51,0,1,492,484.4,19.072,-9,52825,5
295,0x51,0,1,474,484.3,19.067,-12,53004,5
296,0x51,0,2,486,484.8,19.087,-15,53183,5
297,0x51,0,1,508,485.2,19.101,-15,53362,5
298,0x51,0,1,431,485.4,19.111,-24,53541,5
299,0x51,0,0,-1,485.4,19.111,0,53719,5
300,0x51,0,2,562,492.2,19.378,-15,53900,5
301,0x51,0,1,467,484.6,19.08,-21,54079,5
302,0x51,0,0,-1,-1.0,-1.0,0,54185,1
303,0x51,0,0,-1,-1.0,-1.0,0,54365,1
304,0x51,0,0,-1,-1.0,-1.0,0,54545,1
305,0x51,0,0,-1,-1.0,-1.0,0,54725,1
306,0x51,0,0,-1,-1.0,-1.0,0,54905,1
307,0x51,0,0,-1,-1.0,-1.0,0,55085,1
308,0x51,0,0,-1,-1.0,-1.0,0,55265,1
