frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
323,0x51,0,1,393,400.9,15.784,-25,57959,3
324,0x51,0,1,342,398.5,15.691,-28,58138,3
325,0x51,0,1,341,381.6,15.023,-30,58317,3
326,0x51,0,1,349,369.7,14.555,-32,58496,2
327,0x51,0,1,394,363.5,14.311,-24,58675,2
328,0x51,0,1,344,359.1,14.14,-29,58854,2
329,0x51,0,1,358,358.8,14.126,-28,59033,2
330,0x51,0,1,421,358.6,14.117,-22,59212,2
331,0x51,0,2,369,361.7,14.24,-24,59391,2
332,0x51,0,1,422,379.5,14.94,-23,59570,2
333,0x51,0,1,370,376.6,14.828,-27,59749,2
334,0x51,0,0,-1,376.6,14.828,0,59927,2
335,0x51,0,1,360,374.6,14.75,-27,60108,2
336,0x51,0,1,352,370.3,14.577,-28,60287,2
337,0x51,0,1,394,367.2,14.456,-26,60466,2
338,0x51,0,2,353,362.9,14.288,-28,60645,2
339,0x51,0,0,-1,362.9,14.288,0,60823,2
340,0x51,0,1,412,372.2,14.655,-23,61004,2
341,0x51,0,1,401,380.9,14.995,-23,61183,2
342,0x51,0,1,342,386.9,15.233,-30,61362,3
343,0x51,0,0,-1,386.9,15.233,0,61540,3
344,0x51,0,0,-1,386.9,15.233,0,61720,3
345,0x51,0,0,-1,386.9,15.233,0,61900,3
346,0x51,0,0,-1,386.9,15.233,0,62080,3
347,0x51,0,0,-1,386.9,15.233,0,62260,3
348,0x51,0,0,-1,386.9,15.233,0,62440,3
349,0x51,0,1,446,391.1,15.399,-22,62621,3
350,0x51,0,1,349,378.5,14.901,-28,62800,2
351,0x51,0,1,349,369.6,14.553,-28,62979,2
352,0x51,0,1,386,363.5,14.309,-28,63158,2
353,0x51,0,0,-1,363.5,14.309,0,63336,2
354,0x51,0,0,-1,363.5,14.309,0,63516,2
355,0x51,0,0,-1,363.5,14.309,0,63696,2
356,0x51,0,0,-1,363.5,14.309,0,63876,2
357,0x51,0,0,-1,363.5,14.309,0,64056,2
358,0x51,0,0,-1,363.5,14.309,0,64236,2
359,0x51,0,1,443,370.2,14.575,-22,64417,2
360,0x51,0,0,-1,370.2,14.575,0,64595,2
361,0x51,0,1,512,392.1,15.435,-19,64776,3
362,0x51,0,1,441,407.3,16.037,-23,64955,3
363,0x51,0,1,437,417.4,16.434,-22,65134,3
364,0x51,0,0,-1,417.4,16.434,0,65312,3
365,0x51,0,1,400,423.3,16.666,-27,65493,3
366,0x51,0,1,405,417.8,16.449,-25,65672,3
367,0x51,0,0,-1,417.8,16.449,0,65850,3
368,0x51,0,1,400,412.5,16.239,-26,66031,3
369,0x51,0,0,-1,412.5,16.239,0,66209,3
370,0x51,0,0,-1,412.5,16.239,0,66389,3
371,0x51,0,0,-1,412.5,16.239,0,66569,3
372,0x51,0,0,-1,412.5,16.239,0,66749,3
373,0x51,0,0,-1,412.5,16.239,0,66929,3
374,0x51,0,0,-1,412.5,16.239,0,67109,3
375,0x51,0,1,402,409.3,16.115,-26,67290,3
376,0x51,0,0,-1,409.3,16.115,0,67468,3
377,0x51,0,0,-1,409.3,16.115,0,67648,3
378,0x51,0,0,-1,409.3,16.115,0,67828,3
379,0x51,0,0,-1,409.3,16.115,0,68008,3
380,0x51,0,0,-1,409.3,16.115,0,68188,3
381,0x51,0,0,-1,409.3,16.115,0,68368,3
382,0x51,0,0,-1,409.3,16.115,0,68548,3
383,0x51,0,0,-1,409.3,16.115,0,68728,3
384,0x51,0,1,449,407.1,16.029,-21,68909,3
385,0x51,0,0,-1,407.1,16.029,0,69087,3
386,0x51,0,0,-1,407.1,16.029,0,69267,3
387,0x51,0,0,-1,407.1,16.029,0,69447,3
388,0x51,0,0,-1,407.1,16.029,0,69627,3
389,0x51,0,0,-1,407.1,16.029,0,69807,3
