frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
393,0x51,0,2,306,306.5,12.066,-11,70354,1
394,0x51,0,2,307,306.3,12.061,-11,70533,1
395,0x51,0,2,308,306.5,12.068,-11,70712,1
396,0x51,0,2,307,306.7,12.074,-11,70891,1
397,0x51,0,2,307,306.8,12.078,-11,71070,1
398,0x51,0,2,306,306.8,12.08,-11,71249,1
399,0x51,0,2,307,306.9,12.082,-11,71428,1
400,0x51,0,2,307,306.9,12.084,-11,71607,1
401,0x51,0,2,306,306.9,12.084,-11,71786,1
402,0x51,0,2,307,307.0,12.085,-11,71965,1
403,0x51,0,2,307,307.0,12.086,-11,72144,1
404,0x51,0,2,307,307.0,12.086,-11,72323,1
405,0x51,0,2,307,307.0,12.086,-11,72502,1
406,0x51,0,2,306,307.0,12.086,-11,72681,1
407,0x51,0,2,307,307.0,12.086,-11,72860,1
408,0x51,0,2,306,306.7,12.075,-11,73039,1
409,0x51,0,2,306,306.5,12.066,-11,73218,1
410,0x51,0,2,306,306.3,12.061,-11,73397,1
411,0x51,0,2,307,306.2,12.057,-10,73576,1
412,0x51,0,2,307,306.5,12.066,-11,73755,1
413,0x51,0,2,307,306.6,12.072,-11,73934,1
414,0x51,0,2,306,306.7,12.076,-11,74113,1
415,0x51,0,2,307,306.8,12.079,-11,74292,1
416,0x51,0,2,306,306.6,12.07,-11,74471,1
417,0x51,0,2,307,306.7,12.075,-11,74650,1
418,0x51,0,2,306,306.5,12.067,-11,74829,1
419,0x51,0,2,307,306.6,12.073,-11,75008,1
420,0x51,0,2,307,306.8,12.077,-11,75187,1
421,0x51,0,2,307,306.8,12.08,-11,75366,1
422,0x51,0,2,306,306.9,12.082,-11,75545,1
423,0x51,0,2,306,306.6,12.071,-11,75724,1
424,0x51,0,2,307,306.4,12.064,-11,75903,1
425,0x51,0,2,307,306.6,12.071,-11,76082,1
426,0x51,0,2,307,306.7,12.076,-10,76261,1
427,0x51,0,2,307,306.8,12.079,-11,76440,1
428,0x51,0,2,307,306.9,12.081,-11,76619,1
429,0x51,0,2,307,306.9,12.083,-11,76798,1
430,0x51,0,2,307,306.9,12.084,-10,76977,1
431,0x51,0,2,307,307.0,12.085,-11,77156,1
432,0x51,0,2,306,307.0,12.085,-11,77335,1
433,0x51,0,2,306,306.7,12.074,-11,77514,1
434,0x51,0,2,307,306.5,12.066,-11,77693,1
435,0x51,0,2,307,306.6,12.072,-11,77872,1
436,0x51,0,1,306,306.7,12.076,-11,78051,1
437,0x51,0,2,307,306.8,12.08,-11,78230,1
438,0x51,0,2,306,306.6,12.07,-11,78409,1
439,0x51,0,2,308,306.7,12.075,-11,78588,1
440,0x51,0,2,307,306.8,12.078,-11,78767,1
441,0x51,0,2,306,306.9,12.081,-11,78946,1
442,0x51,0,2,307,306.9,12.083,-11,79125,1
443,0x51,0,2,306,306.6,12.072,-11,79304,1
444,0x51,0,2,306,306.4,12.065,-11,79483,1
445,0x51,0,1,306,306.3,12.059,-11,79662,1
446,0x51,0,2,306,306.2,12.056,-11,79841,1
447,0x51,0,2,307,306.2,12.053,-10,80020,1
448,0x51,0,2,306,306.1,12.051,-11,80199,1
449,0x51,0,2,306,306.1,12.05,-11,80378,1
450,0x51,0,2,306,306.1,12.049,-11,80557,1
451,0x51,0,2,306,306.0,12.049,-11,80736,1
452,0x51,0,2,307,306.0,12.048,-10,80915,1
453,0x51,0,2,306,306.0,12.048,-11,81094,1
454,0x51,0,2,307,306.3,12.06,-10,81273,1
455,0x51,0,2,306,306.2,12.056,-11,81452,1
456,0x51,0,2,307,306.5,12.065,-11,81631,1
457,0x51,0,2,307,306.6,12.072,-10,81810,1
458,0x51,0,2,307,306.7,12.076,-11,81989,1
459,0x51,0,2,306,306.8,12.079,-11,82168,1
460,0x51,0,2,306,306.6,12.07,-11,82347,1
461,0x51,0,2,307,306.4,12.063,-11,82526,1
462,0x51,0,2,307,306.6,12.07,-11,82705,1
463,0x51,0,2,306,306.7,12.075,-11,82884,1
464,0x51,0,2,307,306.8,12.078,-11,83063,1
465,0x51,0,2,307,306.9,12.081,-11,83242,1
466,0x51,0,2,306,306.9,12.083,-11,83421,1
467,0x51,0,2,307,306.9,12.084,-11,83600,1
468,0x51,0,2,307,307.0,12.085,-11,83779,1
469,0x51,0,2,308,307.0,12.085,-11,83958,1
470,0x51,0,2,306,307.0,12.086,-11,84137,1
471,0x51,0,2,307,307.0,12.086,-11,84316,1
472,0x51,0,2,307,307.0,12.086,-11,84495,1
473,0x51,0,2,308,307.0,12.086,-11,84674,1
474,0x51,0,2,307,307.0,12.086,-11,84853,1
475,0x51,0,2,306,307.0,12.086,-11,85032,1
476,0x51,0,2,307,307.0,12.087,-11,85211,1
477,0x51,0,2,307,307.0,12.087,-11,85390,1
478,0x51,0,2,307,307.0,12.087,-10,85569,1
479,0x51,0,2,307,307.0,12.087,-10,85748,1
480,0x51,0,2,307,307.0,12.087,-11,85927,1
481,0x51,0,2,307,307.0,12.087,-10,86106,1
482,0x51,0,2,307,307.0,12.087,-11,86285,1
483,0x51,0,1,307,307.0,12.087,-11,86464,1
484,0x51,0,2,307,307.0,12.087,-11,86643,1
485,0x51,0,2,305,307.0,12.087,-11,86822,1
486,0x51,0,2,307,307.0,12.087,-11,87001,1
487,0x51,0,2,308,307.0,12.087,-11,87180,1
488,0x51,0,2,307,307.0,12.087,-11,87359,1
489,0x51,0,2,307,307.0,12.087,-10,87538,1
490,0x51,0,2,307,307.0,12.087,-10,87717,1
491,0x51,0,2,307,307.0,12.087,-11,87896,1
492,0x51,0,2,307,307.0,12.087,-10,88075,1
493,0x51,0,2,306,307.0,12.087,-11,88254,1
494,0x51,0,2,307,307.0,12.087,-11,88433,1
495,0x51,0,2,306,306.7,12.075,-11,88612,1
496,0x51,0,2,307,306.8,12.078,-11,88791,1
497,0x51,0,2,307,306.9,12.081,-11,88970,1
498,0x51,0,2,307,306.9,12.083,-11,89149,1
499,0x51,0,2,306,306.9,12.084,-11,89328,1
500,0x51,0,2,307,306.9,12.085,-11,89507,1
501,0x51,0,2,307,307.0,12.085,-11,89686,1
502,0x51,0,2,307,307.0,12.086,-11,89865,1
503,0x51,0,2,307,307.0,12.086,-11,90044,1
504,0x51,0,2,306,307.0,12.086,-11,90223,1
505,0x51,0,2,307,307.0,12.086,-11,90402,1
506,0x51,0,2,307,307.0,12.086,-11,90581,1
507,0x51,0,2,306,307.0,12.086,-11,90760,1
508,0x51,0,2,307,307.0,12.087,-11,90939,1
509,0x51,0,2,307,307.0,12.087,-11,91118,1
510,0x51,0,2,307,307.0,12.087,-10,91297,1
511,0x51,0,2,307,307.0,12.087,-11,91476,1
512,0x51,0,2,306,307.0,12.087,-11,91655,1
513,0x51,0,2,307,307.0,12.087,-11,91834,1
514,0x51,0,2,307,307.0,12.087,-11,92013,1
515,0x51,0,2,307,307.0,12.087,-11,92192,1
516,0x51,0,2,307,307.0,12.087,-11,92371,1
517,0x51,0,2,306,307.0,12.087,-11,92550,1
518,0x51,0,2,307,307.0,12.087,-11,92729,1
519,0x51,0,2,306,306.7,12.075,-11,92908,1
520,0x51,0,2,307,306.8,12.078,-11,93087,1
521,0x51,0,2,306,306.6,12.069,-11,93266,1
