frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
104,0x51,0,2,330,347.6,13.685,-24,20205,2
105,0x51,0,1,398,343.8,13.536,-23,20382,2
106,0x51,0,1,307,336.9,13.264,-18,20559,2
107,0x51,0,1,312,324.5,12.774,-23,20736,1
108,0x51,0,1,354,318.2,12.529,-16,20913,1
109,0x51,0,1,366,336.1,13.233,-16,21089,2
110,0x51,0,3,271,345.1,13.585,-26,21266,2
111,0x51,0,1,291,318.0,12.521,-19,21442,1
112,0x51,0,2,337,304.5,11.989,-21,21619,1
113,0x51,0,2,324,314.3,12.372,-22,21796,1
114,0x51,0,1,320,319.1,12.564,-22,21973,1
115,0x51,0,2,258,319.6,12.581,-24,22150,1
116,0x51,0,2,267,293.3,11.547,-27,22327,1
117,0x51,0,1,241,275.6,10.852,-30,22504,1
118,0x51,0,1,295,271.3,10.682,-21,22681,1
119,0x51,0,1,288,279.7,11.01,-25,22858,1
120,0x51,0,2,288,283.8,11.174,-20,23035,1
121,0x51,0,1,353,285.9,11.256,-19,23212,1
122,0x51,0,3,294,290.0,11.416,-22,23389,1
123,0x51,0,2,376,321.5,12.657,-20,23566,1
124,0x51,0,1,339,330.2,13.002,-21,23743,2
125,0x51,0,1,349,339.6,13.371,-25,23920,2
126,0x51,0,2,395,344.3,13.556,-23,24097,2
127,0x51,0,1,390,367.2,14.455,-20,24274,2
128,0x51,0,1,385,378.6,14.905,-18,24450,2
129,0x51,0,1,340,381.8,15.031,-21,24627,3
130,0x51,0,1,356,368.9,14.523,-24,24804,2
131,0x51,0,1,335,354.4,13.955,-30,24981,2
132,0x51,0,2,291,344.7,13.572,-27,25158,2
133,0x51,0,1,348,339.9,13.38,-24,25335,2
134,0x51,0,0,-1,339.9,13.38,0,25510,2
135,0x51,0,1,435,343.9,13.541,-21,25690,2
136,0x51,0,2,304,346.0,13.621,-24,25867,2
137,0x51,0,2,254,325.0,12.795,-29,26044,1
138,0x51,0,1,312,314.5,12.382,-16,26221,1
139,0x51,0,2,282,298.2,11.742,-20,26398,1
140,0x51,0,1,283,290.6,11.442,-23,26575,1
141,0x51,0,2,301,286.8,11.292,-23,26752,1
142,0x51,0,1,326,293.9,11.571,-22,26929,1
143,0x51,0,1,339,310.0,12.203,-18,27106,1
144,0x51,0,2,271,318.0,12.519,-29,27283,1
145,0x51,0,2,299,308.5,12.145,-27,27460,1
