frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
6,0x51,0,1,530,529.0,20.827,-9,1157,5
7,0x51,0,1,529,529.0,20.827,-9,1332,5
8,0x51,0,1,529,529.0,20.827,-8,1507,5
9,0x51,0,1,530,529.0,20.827,-8,1683,5
10,0x51,0,1,530,529.5,20.846,-8,1859,5
11,0x51,0,1,529,529.8,20.856,-9,2034,5
12,0x51,0,1,529,529.4,20.842,-8,2210,5
13,0x51,0,1,529,529.2,20.834,-8,2385,5
14,0x51,0,1,530,529.1,20.83,-8,2561,5
15,0x51,0,1,529,529.0,20.829,-8,2736,5
16,0x51,0,1,529,529.0,20.828,-9,2912,5
17,0x51,0,1,530,529.0,20.827,-9,3088,5
18,0x51,0,1,530,529.5,20.847,-8,3263,5
19,0x51,0,1,529,529.8,20.856,-9,3439,5
20,0x51,0,1,529,529.4,20.842,-8,3615,5
21,0x51,0,1,530,529.2,20.834,-9,3791,5
22,0x51,0,1,530,529.6,20.85,-8,3966,5
23,0x51,0,1,530,529.8,20.858,-8,4142,5
24,0x51,0,1,530,529.9,20.862,-9,4318,5
25,0x51,0,1,529,529.9,20.864,-9,4494,5
26,0x51,0,1,530,530.0,20.865,-9,4669,5
27,0x51,0,1,530,530.0,20.866,-8,4844,5
28,0x51,0,1,529,530.0,20.866,-9,5020,5
29,0x51,0,1,530,530.0,20.866,-9,5195,5
30,0x51,0,1,530,530.0,20.866,-8,5371,5
31,0x51,0,1,530,530.0,20.866,-8,5546,5
32,0x51,0,1,530,530.0,20.866,-8,5722,5
33,0x51,0,1,529,530.0,20.866,-8,5898,5
34,0x51,0,1,529,529.5,20.846,-8,6074,5
35,0x51,0,1,529,529.2,20.837,-8,6249,5
36,0x51,0,1,530,529.1,20.832,-9,6425,5
37,0x51,0,1,529,529.1,20.829,-8,6601,5
38,0x51,0,1,529,529.0,20.828,-9,6777,5
39,0x51,0,1,529,529.0,20.827,-9,6953,5
40,0x51,0,1,529,529.0,20.827,-8,7128,5
41,0x51,0,1,529,529.0,20.827,-8,7303,5
42,0x51,0,1,529,529.0,20.827,-8,7479,5
43,0x51,0,1,530,529.0,20.827,-8,7655,5
44,0x51,0,1,529,529.0,20.827,-8,7830,5
45,0x51,0,1,531,529.5,20.846,-8,8005,5
46,0x51,0,1,530,529.8,20.856,-8,8180,5
47,0x51,0,1,530,529.9,20.861,-8,8356,5
48,0x51,0,1,530,529.9,20.864,-8,8531,5
49,0x51,0,1,530,530.0,20.865,-8,8706,5
50,0x51,0,1,529,530.0,20.866,-8,8881,5
51,0x51,0,1,530,530.0,20.866,-9,9057,5
52,0x51,0,1,529,529.5,20.846,-9,9232,5
53,0x51,0,1,529,529.2,20.837,-9,9407,5
54,0x51,0,1,530,529.1,20.832,-8,9582,5
55,0x51,0,1,530,529.6,20.849,-9,9758,5
56,0x51,0,1,530,529.8,20.858,-8,9933,5
57,0x51,0,1,529,529.9,20.862,-8,10109,5
58,0x51,0,1,529,529.4,20.844,-9,10284,5
59,0x51,0,1,529,529.2,20.836,-9,10459,5
60,0x51,0,1,529,529.1,20.831,-9,10634,5
61,0x51,0,1,530,529.1,20.829,-8,10810,5
62,0x51,0,1,529,529.0,20.828,-8,10985,5
63,0x51,0,1,530,529.5,20.847,-8,11160,5
64,0x51,0,1,530,529.8,20.857,-8,11335,5
65,0x51,0,1,529,529.9,20.861,-8,11510,5
66,0x51,0,1,530,529.9,20.864,-8,11685,5
67,0x51,0,1,530,530.0,20.865,-8,11860,5
68,0x51,0,1,529,530.0,20.866,-8,12035,5
69,0x51,0,1,530,530.0,20.866,-8,12211,5
70,0x51,0,1,529,529.5,20.846,-9,12387,5
71,0x51,0,1,529,529.2,20.837,-8,12563,5
72,0x51,0,1,529,529.1,20.832,-8,12739,5
73,0x51,0,1,530,529.1,20.829,-8,12914,5
74,0x51,0,1,529,529.0,20.828,-9,13090,5
75,0x51,0,1,529,529.0,20.827,-8,13265,5
76,0x51,0,1,530,529.0,20.827,-8,13441,5
77,0x51,0,1,529,529.0,20.827,-8,13617,5
78,0x51,0,1,529,529.0,20.827,-8,13792,5
79,0x51,0,1,530,529.0,20.827,-8,13968,5
80,0x51,0,1,530,529.5,20.846,-8,14144,5
81,0x51,0,1,528,529.8,20.856,-9,14319,5
82,0x51,0,1,529,529.4,20.842,-8,14494,5
83,0x51,0,1,530,529.2,20.834,-9,14670,5
84,0x51,0,1,529,529.1,20.83,-8,14845,5
85,0x51,0,1,529,529.0,20.829,-9,15021,5
86,0x51,0,1,530,529.0,20.828,-9,15197,5
87,0x51,0,1,530,529.5,20.847,-8,15372,5
88,0x51,0,1,529,529.8,20.857,-9,15548,5
89,0x51,0,1,530,529.9,20.861,-8,15723,5
90,0x51,0,1,530,529.9,20.864,-8,15898,5
91,0x51,0,1,529,530.0,20.865,-8,16074,5
92,0x51,0,1,529,529.5,20.846,-9,16249,5
93,0x51,0,1,530,529.2,20.836,-8,16425,5
94,0x51,0,1,529,529.1,20.832,-9,16601,5
95,0x51,0,1,529,529.1,20.829,-8,16777,5
96,0x51,0,1,529,529.0,20.828,-9,16953,5
97,0x51,0,1,529,529.0,20.827,-9,17129,5
98,0x51,0,1,530,529.0,20.827,-8,17304,5
99,0x51,0,1,529,529.0,20.827,-8,17480,5
100,0x51,0,1,530,529.5,20.847,-8,17655,5
101,0x51,0,1,528,529.3,20.837,-9,17831,5
102,0x51,0,1,530,529.6,20.851,-9,18007,5
103,0x51,0,1,530,529.8,20.859,-8,18182,5
104,0x51,0,1,529,529.9,20.862,-9,18357,5
105,0x51,0,1,529,529.5,20.845,-9,18532,5
106,0x51,0,1,530,529.2,20.836,-9,18707,5
107,0x51,0,1,529,529.1,20.831,-8,18882,5
108,0x51,0,1,530,529.6,20.849,-8,19057,5
109,0x51,0,1,529,529.3,20.838,-8,19233,5
110,0x51,0,1,529,529.1,20.832,-8,19409,5
