environment,bed,height,point,file,samples,valid_samples,invalid_samples,invalid_pct,raw_mean,raw_median,raw_std,raw_bias,raw_mae,raw_rmse,filtered_mean,filtered_median,filtered_std,filtered_bias,filtered_mae,filtered_rmse
bed,2,12,1,stationary_12_1.txt,174,174,0,0.0,12.182,12.244,0.147,0.182,0.208,0.234,12.193,12.254,0.103,0.193,0.195,0.218
bed,2,12,2,stationary_12_2.txt,167,165,2,1.198,13.254,11.929,4.633,1.254,2.14,4.786,12.598,12.156,1.243,0.598,1.069,1.376
bed,2,12,3,stationary_12_3.txt,170,170,0,0.0,12.894,12.874,0.079,0.894,0.894,0.897,12.894,12.884,0.05,0.894,0.894,0.895
bed,2,16,1,stationary_16_1.txt,165,164,1,0.606,16.119,16.181,0.172,0.119,0.188,0.209,16.103,16.158,0.148,0.103,0.172,0.18
bed,2,16,2,stationary_16_2.txt,338,323,15,4.438,16.18,16.89,1.364,0.18,1.194,1.374,16.154,16.748,1.065,0.154,0.974,1.074
bed,2,16,3,stationary_16_3.txt,174,131,43,24.713,16.774,16.22,2.999,0.774,0.785,3.086,16.222,16.23,0.092,0.222,0.222,0.24
bed,2,20,1,stationary_20_1.txt,164,163,1,0.61,21.204,20.354,1.645,1.204,1.206,2.034,21.25,20.364,1.373,1.25,1.25,1.854
bed,2,20,2,stationary_20_2.txt,174,174,0,0.0,20.111,20.0,0.285,0.111,0.187,0.305,20.053,20.023,0.126,0.053,0.09,0.137
bed,2,20,3,stationary_20_3.txt,158,158,0,0.0,20.065,20.0,0.302,0.065,0.21,0.308,20.038,19.99,0.179,0.038,0.125,0.183
bed,3,12,1,stationary_12_1.txt,169,161,8,4.734,11.616,11.496,0.33,-0.384,0.463,0.506,11.541,11.503,0.107,-0.459,0.459,0.472
bed,3,12,2,stationary_12_2.txt,170,170,0,0.0,11.734,11.732,0.049,-0.266,0.266,0.27,11.735,11.734,0.025,-0.265,0.265,0.266
bed,3,12,3,stationary_12_3.txt,171,171,0,0.0,11.354,11.339,0.066,-0.646,0.646,0.65,11.355,11.354,0.032,-0.645,0.645,0.646
bed,3,16,1,stationary_16_1.txt,163,163,0,0.0,17.144,17.165,0.31,1.144,1.182,1.185,17.174,17.183,0.04,1.174,1.174,1.175
bed,3,16,2,stationary_16_2.txt,199,104,95,47.739,16.547,15.276,4.123,0.547,2.141,4.14,15.893,15.536,1.366,-0.107,1.18,1.364
bed,3,16,3,stationary_16_3.txt,173,173,0,0.0,15.991,16.142,1.159,-0.009,0.338,1.156,16.126,16.113,0.105,0.126,0.132,0.164
bed,3,20,1,stationary_20_1.txt,169,156,13,7.692,20.067,20.079,0.28,0.067,0.227,0.287,20.082,20.083,0.101,0.082,0.104,0.13
bed,3,20,2,stationary_20_2.txt,181,181,0,0.0,19.941,19.921,0.058,-0.059,0.069,0.083,19.938,19.933,0.036,-0.062,0.066,0.072
bed,3,20,3,stationary_20_3.txt,160,151,9,5.625,19.6,19.252,2.784,-0.4,1.036,2.803,19.269,19.275,0.057,-0.731,0.731,0.733
bed,4,12,1,stationary_12_1.txt,170,169,1,0.588,11.121,10.63,1.147,-0.879,1.437,1.443,10.943,10.641,0.598,-1.057,1.151,1.213
bed,4,12,2,stationary_12_2.txt,174,174,0,0.0,12.948,13.071,0.47,0.948,1.055,1.057,12.928,13.063,0.402,0.928,0.989,1.011
bed,4,12,3,stationary_12_3.txt,170,170,0,0.0,12.275,12.283,0.046,0.275,0.275,0.279,12.277,12.281,0.037,0.277,0.277,0.28
bed,4,16,1,stationary_16_1.txt,158,158,0,0.0,18.048,18.031,0.256,2.048,2.048,2.064,18.021,18.02,0.093,2.021,2.021,2.023
bed,4,16,2,stationary_16_2.txt,176,176,0,0.0,17.857,17.913,0.381,1.857,1.858,1.896,17.893,17.877,0.148,1.893,1.893,1.899
bed,4,16,3,stationary_16_3.txt,165,165,0,0.0,16.133,16.181,0.187,0.133,0.204,0.229,16.142,16.166,0.104,0.142,0.164,0.175
bed,4,20,1,stationary_20_1.txt,171,171,0,0.0,20.051,20.039,0.055,0.051,0.062,0.075,20.053,20.055,0.022,0.053,0.053,0.057
bed,4,20,2,stationary_20_2.txt,183,112,71,38.798,21.284,22.598,2.681,1.284,2.03,2.962,21.233,21.704,1.503,1.233,1.661,1.939
bed,4,20,3,stationary_20_3.txt,177,177,0,0.0,20.968,20.906,0.21,0.968,0.968,0.99,20.967,20.91,0.159,0.967,0.967,0.98
