frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
13,0x51,0,1,361,363.3,14.305,-16,2433,2
14,0x51,0,1,361,362.6,14.277,-16,2612,2
15,0x51,0,2,340,362.1,14.258,-17,2791,2
16,0x51,0,3,196,355.5,13.996,-25,2970,2
17,0x51,0,2,338,350.3,13.789,-23,3149,2
18,0x51,0,2,345,346.6,13.645,-21,3328,2
19,0x51,0,1,340,344.6,13.567,-16,3507,2
20,0x51,0,2,321,343.2,13.513,-17,3686,2
21,0x51,0,1,334,340.5,13.404,-17,3865,2
22,0x51,0,1,337,338.5,13.328,-19,4044,2
23,0x51,0,1,346,338.1,13.31,-19,4223,2
24,0x51,0,1,330,337.7,13.297,-13,4402,2
25,0x51,0,1,332,336.0,13.229,-15,4581,2
26,0x51,0,2,330,334.2,13.158,-19,4760,2
27,0x51,0,1,318,333.0,13.108,-23,4939,2
28,0x51,0,1,305,328.5,12.932,-15,5118,1
29,0x51,0,1,306,321.7,12.666,-15,5297,1
30,0x51,0,1,300,316.7,12.469,-15,5476,1
31,0x51,0,1,299,311.7,12.271,-9,5655,1
32,0x51,0,1,297,307.9,12.122,-10,5834,1
33,0x51,0,1,302,305.2,12.017,-9,6013,1
34,0x51,0,1,303,304.3,11.979,-25,6192,1
35,0x51,0,1,303,303.9,11.964,-11,6371,1
36,0x51,0,1,310,303.6,11.953,-22,6550,1
37,0x51,0,2,308,304.9,12.005,-16,6729,1
38,0x51,0,2,309,306.2,12.053,-14,6908,1
39,0x51,0,2,308,306.7,12.075,-14,7087,1
40,0x51,0,2,307,307.1,12.09,-14,7266,1
41,0x51,0,2,303,307.1,12.089,-17,7445,1
42,0x51,0,2,310,307.0,12.088,-13,7624,1
43,0x51,0,2,317,307.9,12.123,-9,7803,1
44,0x51,0,1,312,309.2,12.171,-12,7982,1
45,0x51,0,1,314,310.6,12.229,-12,8161,1
46,0x51,0,1,317,311.6,12.269,-10,8340,1
